"","num","list","type","exp1_key.keys","exp1_key.rt","exp1_key.corr","participant","group","cor_rate","prof"
"1","11","l1","na","lshift",2.500446749,1,"AJ","exp_g1",1,56
"2","12","l1","na","rshift",3.357351583,1,"AJ","exp_g1",1,56
"3","13","l1","na","lshift",3.0665545,1,"AJ","exp_g1",1,56
"4","14","l1","na","rshift",2.604569875,1,"AJ","exp_g1",1,56
"5","15","l1","na","lshift",2.516599874,1,"AJ","exp_g1",1,56
"6","16","l1","na","rshift",3.343350749,1,"AJ","exp_g1",1,56
"7","17","l1","na","lshift",3.192526541,1,"AJ","exp_g1",1,56
"8","18","l1","na","rshift",2.890337082,1,"AJ","exp_g1",1,56
"9","19","l1","na","lshift",3.084810458,1,"AJ","exp_g1",1,56
"10","20","l1","na","rshift",2.730648041,1,"AJ","exp_g1",1,56
"11","131","l1","f0u","lshift",2.375052624,1,"AJ","exp_g1",1,56
"12","132","l1","f0u","rshift",2.606264541,1,"AJ","exp_g1",1,56
"13","133","l1","f0u","lshift",2.63389675,1,"AJ","exp_g1",1,56
"14","134","l1","f0u","rshift",3.307564208,1,"AJ","exp_g1",1,56
"15","135","l1","f0u","lshift",2.541163083,1,"AJ","exp_g1",1,56
"16","136","l1","f0u","rshift",3.285779832,1,"AJ","exp_g1",1,56
"17","137","l1","f0u","lshift",2.7891955,1,"AJ","exp_g1",1,56
"18","138","l1","f0u","rshift",2.707920916,1,"AJ","exp_g1",1,56
"19","139","l1","f0u","lshift",3.084343583,1,"AJ","exp_g1",1,56
"20","140","l1","f0u","rshift",3.131078541,1,"AJ","exp_g1",1,56
